,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,agec,dept
1,1585908,1587586,1600005,1616364,1632026,1639576,1652666,1656547,1647933,1629032,1600069,1575164,1547198,1517706,1488056,1462140,1434004,1407552,1383513,1360392,1338095,1317799,1299170,1282911,1271310,1262985,1257198,1253075,1250530,1249271,1248832,1248828,1248880,1248512,1245951,1243217,1,Colombia
2,1390048,1399612,1405942,1408792,1411128,1413318,1421907,1434332,1446047,1455324,1455927,1447425,1433923,1415973,1394597,1374278,1362622,1352136,1343608,1335132,1327835,1311111,1291618,1269499,1249016,1230231,1214708,1201931,1191345,1182568,1175044,1170940,1168976,1168375,1167078,1166294,2,Colombia
3,1200043,1207401,1220407,1236113,1250430,1257608,1261705,1261907,1258002,1255737,1255199,1253318,1254116,1257226,1259634,1261309,1261899,1263597,1266850,1270149,1274371,1268417,1257398,1242603,1227054,1210120,1193168,1175820,1159702,1145839,1134579,1122069,1111602,1103441,1096126,1091382,3,Colombia
4,1132326,1128949,1121130,1110755,1101990,1095562,1094570,1099126,1104966,1109751,1109157,1103813,1096412,1089650,1086654,1091527,1091294,1092163,1094528,1097684,1100376,1114677,1124189,1130718,1134805,1135125,1132094,1125293,1115625,1104163,1092236,1080647,1069476,1059325,1049025,1040736,4,Colombia
5,967252,982155,995825,1006228,1011426,1008248,999669,984627,964409,945632,929820,918171,912539,910372,908080,906012,899320,893090,888063,883866,879417,892180,909865,929823,950321,968153,984471,998235,1009010,1016167,1019728,1019559,1016200,1010695,1003624,996689,5,Colombia
6,754861,777935,801243,823820,845115,862385,878027,891240,899053,901462,895835,883771,866780,848255,832373,823720,814084,805134,797171,789706,781702,780817,777604,774732,777035,785547,800093,820079,843038,865787,885839,903340,918363,930622,940200,946967,6,Colombia
7,579256,604675,629732,653937,677094,697277,716363,733518,746547,756095,760040,758732,754125,745895,732942,717063,713567,710522,708526,706502,704589,702244,704027,707724,712192,714997,717023,717301,718258,723127,733923,749941,771213,795194,818869,839540,7,Colombia
8,471036,491431,510600,528550,546054,562106,577938,592971,606111,617981,627162,633955,639013,642386,644059,645217,651867,658921,666806,674176,682289,676259,667325,656226,647619,643090,642908,646822,653227,659559,664464,668016,670038,672491,678998,690692,8,Colombia
9,397923,410189,425591,442689,459521,473843,486913,498273,507667,516299,523967,530971,537796,544501,550879,558022,566072,574459,583466,592491,601774,610400,617976,623644,626767,626136,622586,615741,607690,601548,599247,600402,605467,612947,620733,626572,9,Colombia
10,376859,380220,381345,381746,383851,388308,395708,405820,416872,427446,435822,442575,448311,453887,460036,468195,476328,484856,493936,503211,512387,524845,535490,545448,555329,564517,573593,582288,589631,594246,595307,593166,587896,581441,577260,575992,10,Colombia
