,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,agec,dept
1157,4120333,4180628,4249196,4321266,4393421,4460588,4529276,4583312,4623245,4642711,4646005,4652699,4640532,4612801,4574286,4531903,4483100,4435696,4394751,4361947,4343774,4316610,4297255,4284814,4279404,4279721,4284237,4291149,4299725,4310123,4321637,4335151,4348076,4359358,4367826,4373565,1,Colombia
1158,3770864,3833951,3891920,3943941,3994373,4047926,4112850,4181777,4253581,4319358,4376468,4426743,4470375,4507135,4536448,4559289,4564326,4555574,4533535,4503026,4465233,4444274,4412559,4377126,4341034,4308667,4286387,4272011,4264594,4260992,4258678,4263048,4270908,4280527,4290373,4298770,2,Colombia
1159,3421604,3455592,3512589,3585938,3662537,3731730,3795229,3850257,3901609,3951774,4006957,4062240,4120289,4180579,4241767,4303199,4350315,4395163,4436349,4469817,4491881,4498911,4493645,4477459,4453330,4424204,4393148,4359830,4327970,4301474,4282708,4265999,4256204,4252711,4252922,4255643,3,Colombia
1160,3396351,3394485,3379167,3360754,3353963,3368611,3405793,3464842,3538092,3608501,3668866,3717659,3758009,3795511,3838680,3892549,3946975,4004494,4063817,4120564,4178217,4232054,4285932,4332778,4369302,4392416,4403814,4401418,4387955,4367653,4345112,4321654,4299236,4279637,4264866,4254234,4,Colombia
1161,3131416,3192917,3244913,3285541,3312298,3324065,3322486,3305854,3285684,3273198,3279301,3302271,3344873,3400083,3457983,3512809,3559376,3601872,3643114,3684783,3730891,3790021,3854851,3920781,3985878,4048318,4110318,4169560,4222511,4264257,4292291,4306036,4307133,4299104,4287040,4274906,5,Colombia
1162,2617368,2710900,2804793,2895800,2979555,3052306,3114977,3165559,3203167,3223156,3225855,3211957,3182546,3148605,3126112,3126789,3145858,3187462,3244912,3305888,3364011,3417361,3465252,3510362,3559279,3615319,3678614,3746936,3818440,3889676,3957939,4022291,4083624,4138652,4183803,4216692,6,Colombia
1163,2103699,2187556,2273957,2362818,2453706,2545982,2639949,2733045,2822087,2900408,2965697,3017425,3056542,3082352,3093333,3090498,3074689,3046636,3016907,2999680,2995744,3029977,3077931,3140418,3205812,3266313,3323648,3375368,3425261,3478846,3539724,3605504,3676508,3750017,3822631,3891467,7,Colombia
1164,1681821,1752290,1822819,1894424,1969099,2047609,2130075,2214663,2301619,2388774,2475841,2562159,2646796,2726851,2798897,2861042,2911279,2950661,2978293,2993406,2997245,2984592,2960959,2935155,2920610,2927032,2956138,3007266,3073074,3141854,3205979,3264933,3318380,3369633,3424448,3485871,8,Colombia
1165,1332502,1377807,1434836,1500458,1569668,1638964,1708778,1777554,1846992,1917899,1992070,2069459,2149098,2230741,2314258,2400033,2485106,2570616,2653807,2730043,2798869,2847362,2888093,2916573,2931612,2933196,2923885,2903042,2880514,2869549,2879410,2909621,2961657,3027900,3096815,3160456,9,Colombia
1166,1184172,1202882,1218415,1235317,1259575,1294830,1341377,1398427,1462859,1529465,1595365,1660845,1725585,1791188,1860203,1934462,2010813,2090334,2173116,2258938,2343663,2433168,2519309,2601526,2675393,2737901,2790367,2832007,2862194,2879512,2883795,2875587,2856190,2834721,2824243,2833416,10,Colombia
1167,1019126,1042834,1068954,1095754,1120745,1142487,1161603,1177929,1196155,1220307,1254507,1298530,1352467,1413699,1478367,1543977,1608362,1672790,1738472,1807496,1878104,1957033,2036775,2119205,2203224,2288314,2374840,2460771,2542977,2617116,2680490,2732428,2773926,2804044,2821248,2825074,11,Colombia
1168,880746,893319,908665,926449,946207,967812,991699,1017604,1044180,1068560,1089681,1108193,1124072,1141352,1165732,1201176,1244652,1298125,1358886,1422656,1485507,1550708,1614072,1677944,1744592,1815503,1890811,1969508,2051081,2134484,2218791,2302979,2386809,2466980,2539388,2600875,12,Colombia
1169,773821,786877,795251,801193,807907,817570,830223,845296,862665,881707,902387,925195,950113,975789,1000322,1022583,1041814,1059073,1077864,1102732,1132873,1179212,1231608,1290610,1351725,1412231,1473107,1533411,1594650,1659236,1728396,1800884,1876548,1954304,2033070,2112198,13,Colombia
1170,577841,599692,624324,649355,671537,688756,701053,709452,716625,724531,734842,747557,762505,779471,798708,820630,843642,869068,895346,920155,943764,957941,972939,990534,1015164,1048429,1089641,1139440,1194296,1250825,1307382,1363781,1420127,1477875,1539018,1604139,14,Colombia
1171,384048,398961,415847,435326,457310,481618,503436,527791,550586,569349,583304,590632,598550,607875,619691,633911,647977,663454,680686,699741,720183,741365,766321,790685,811787,830113,837870,848094,865218,891781,926841,967539,1013539,1061933,1110984,1160128,15,Colombia
1172,230758,245541,258372,269569,280504,292362,301624,313208,328748,349238,373617,395985,417068,435704,452007,466457,480681,492253,501922,508631,517556,505666,510580,527843,555186,588245,615521,641029,660523,674766,684618,700183,711175,722987,738885,763428,16,Colombia
1173,175751,183765,192955,203207,214507,226806,240142,254370,269214,284969,301421,318501,336271,354720,374004,394256,414576,435553,457182,478986,501077,519701,538848,557334,575500,593662,612255,630983,650106,669643,689614,710090,731569,753857,776918,800885,17,Colombia
1174,498675,505934,515427,526202,537164,546842,558223,566646,571709,573431,572199,571552,568000,562096,554490,546239,537424,529596,523758,520427,520563,518105,516489,515490,515601,516812,518820,521480,524602,527950,531346,535099,538083,540088,540656,540001,1,Antioquia
1175,463696,470577,475755,479693,483726,489211,497574,507860,519561,531485,542193,551059,558184,563394,566636,568112,568015,565113,559520,552173,543758,539266,534566,530308,526470,522929,520422,519057,518920,519786,521301,525013,528916,532804,536209,539192,2,Antioquia
1176,429733,431531,436584,444015,451656,457994,463129,467682,472346,478450,486870,496740,508276,520749,532867,543483,553023,560967,567084,571111,572464,570600,566373,560273,553526,547144,541451,536277,531678,527852,525098,525668,527678,530594,533697,537090,3,Antioquia
1177,459648,453937,445156,435211,427001,422547,421724,425521,432711,440889,448507,455493,461729,468026,475746,485550,497053,510066,523638,536548,548456,557314,565085,570798,574250,575119,573560,569271,563236,556716,550674,544967,541044,539426,540746,543350,4,Antioquia
1178,446664,451810,454868,455532,453425,448497,440459,429695,418381,409622,405557,406635,412790,422390,432821,442329,451001,458996,467041,475984,486577,498467,511780,525261,537983,549072,558873,566962,572951,576527,577570,575525,571080,565216,559438,555246,5,Antioquia
1179,379462,391852,404046,415454,425178,432589,437276,439591,439313,436377,430993,423797,414652,405514,399258,397655,400293,407647,418097,428875,438699,448831,457882,466298,475626,486497,498842,512421,526410,539502,550905,560141,567607,573026,576366,577411,6,Antioquia
1180,304674,316915,329113,341353,353738,366304,378587,390788,402218,411903,419173,424000,426805,427512,425978,422184,416493,408668,400514,394670,391812,396448,404643,415856,427694,438482,448627,457774,466614,476312,487528,499456,512557,526014,538647,549529,7,Antioquia
1181,239304,249810,260505,271430,282731,294486,306322,318287,330457,342904,355566,368078,380673,392648,402955,410886,416698,420424,421813,420818,417648,412175,404681,397019,391983,391352,395206,403619,415122,427186,438208,447958,456699,465083,474367,485067,8,Antioquia
1182,187519,194122,202214,211507,221453,231711,242033,252501,263198,274323,285990,297925,310141,322615,335366,348330,361409,374561,386982,397621,406196,411688,415513,417126,416426,413534,408818,401851,394585,389868,389503,393024,401057,412056,423650,434095,9,Antioquia
1183,164352,166648,168943,171708,175612,181041,187786,195966,205244,215118,225251,235459,245923,256731,268045,279892,292101,304536,317177,330139,342859,356135,369094,381385,391955,400156,406338,410405,412297,411873,409278,404261,397014,389492,384518,383834,10,Antioquia
1184,145398,147979,150423,152775,155108,157502,159890,162393,165436,169595,175175,181910,190036,199276,209147,219282,229643,240230,251081,262328,273668,285845,298019,310453,323118,335950,348995,362005,374276,384826,393077,398773,402441,403964,403141,400168,11,Antioquia
1185,123110,125605,128476,131527,134505,137282,139810,142278,144723,147216,149820,152427,155142,158335,162569,168180,175053,183299,192567,202299,212019,222329,232565,242918,253701,264990,276787,288842,301128,313631,326242,338544,350846,362473,372302,379913,12,Antioquia
1186,104121,106225,107905,109427,111176,113352,115803,118607,121612,124579,127375,129992,132597,135240,137935,140703,143519,146430,149795,154071,159062,166198,174171,183085,192387,201756,211382,221127,231105,241535,252480,263508,274753,286145,297564,309114,13,Antioquia
1187,77172,80155,83310,86472,89381,91907,93929,95634,97287,99181,101409,103876,106678,109656,112625,115478,118209,120956,123751,126598,129655,131617,134164,137340,141565,146932,153309,160846,169126,177712,186449,195197,204094,213224,222686,232555,14,Antioquia
1188,48560,51315,54301,57455,60716,64056,66859,69918,72864,75467,77653,78978,80498,82359,84607,87166,89817,92689,95597,98588,101298,102535,105209,108027,110643,113349,114759,116664,119656,123972,129393,135376,142077,149172,156450,163917,15,Antioquia
1189,26886,28462,30136,32028,34226,36772,38562,40707,43324,46428,49920,52720,55422,57819,59908,61737,63589,65154,66700,68402,70846,71185,72823,75290,78410,81901,84676,87429,89603,91265,92693,94954,96837,98995,101801,105582,16,Antioquia
1190,19897,21040,22357,23847,25512,27341,29303,31421,33671,36058,38587,41252,44022,46872,49782,52706,55617,58509,61342,64060,66730,69235,71808,74472,77214,80028,82944,85787,88681,91619,94554,97393,100335,103258,106150,109029,17,Antioquia
1191,213272,216258,218150,219175,219622,219781,219805,219893,220111,220400,220747,220865,220907,220840,220796,220767,220753,220738,220748,220728,220622,220188,219328,218244,217048,216018,215079,214494,214299,214416,214753,214995,215178,215149,214822,214078,1,Atlantico
1192,188879,193802,198722,203425,207730,211380,214293,216224,217277,217676,217792,217947,218109,218302,218450,218517,218604,218692,218761,218861,218951,219244,219540,219801,219862,219625,219165,218400,217426,216388,215482,214763,214346,214158,214140,214165,2,Atlantico
1193,166244,168575,172368,177193,182574,188032,193451,198585,203284,207329,210505,212764,214194,215058,215580,215985,216235,216473,216688,216891,217034,217175,217300,217430,217601,217812,218132,218441,218695,218702,218394,217781,216930,215972,215078,214386,3,Atlantico
1194,165955,165105,164178,163558,163777,165213,168003,171972,176732,181815,186837,191678,196287,200555,204290,207326,209589,211097,212005,212609,213055,213587,213995,214306,214525,214732,215021,215331,215678,216015,216356,216675,216986,217183,217190,216892,4,Atlantico
1195,157902,160867,162901,164123,164678,164670,164251,163483,162791,162647,163490,165459,168608,172640,177212,181964,186715,191342,195648,199479,202611,205215,207073,208371,209269,209957,210604,211212,211805,212349,212866,213306,213723,214130,214536,214946,5,Atlantico
1196,128309,134147,140304,146367,151849,156328,159753,162006,163217,163467,162894,161606,159891,158282,157402,157783,159572,162766,166992,171823,176841,181953,186880,191484,195560,198962,201698,203731,205227,206337,207300,208161,209011,209802,210508,211089,6,Atlantico
1197,101416,105949,110666,115643,120977,126737,132896,139225,145273,150519,154557,157248,158670,159034,158562,157473,155928,154191,152772,152245,153069,155312,158867,163357,168334,173462,178645,183697,188465,192738,196351,199216,201387,203038,204384,205605,7,Atlantico
1198,79028,83095,87184,91338,95625,100065,104709,109473,114421,119596,125042,130688,136379,141750,146386,149944,152368,153738,154252,154124,153479,152418,151065,149875,149445,150264,152530,156138,160733,165862,171135,176410,181579,186479,190912,194709,8,Atlantico
1199,60075,62476,65712,69539,73656,77820,81974,86049,90131,94254,98467,102761,107159,111706,116512,121624,127036,132615,138016,142810,146670,149494,151193,151899,151827,151123,150023,148671,147585,147284,148250,150586,154271,158944,164155,169533,9,Atlantico
1200,54656,55337,55764,56253,57192,58878,61398,64676,68450,72440,76406,80287,84095,87916,91807,95834,100001,104325,108879,113760,119028,124644,130372,135824,140585,144316,146995,148630,149370,149375,148809,147783,146548,145560,145385,146463,10,Atlantico
1201,46337,47539,49033,50610,52045,53134,53880,54363,54888,55815,57419,59783,62873,66455,70265,74100,77882,81629,85417,89336,93436,97694,102072,106598,111393,116505,121933,127501,132868,137575,141312,143987,145658,146471,146601,146176,11,Atlantico
1202,41746,41935,42228,42678,43345,44302,45552,47040,48574,49940,50952,51604,52026,52499,53371,54943,57272,60324,63875,67649,71448,75199,78888,82608,86428,90381,94485,98712,103121,107797,112795,118070,123532,128814,133485,137202,12,Atlantico
1203,38421,38854,39049,39100,39108,39176,39345,39611,40015,40622,41496,42646,44017,45456,46763,47759,48429,48895,49422,50359,51957,54247,57185,60558,64156,67759,71361,74903,78496,82158,85926,89812,93824,98014,102484,107304,13,Atlantico
1204,29866,30799,31883,32969,33918,34608,35024,35228,35293,35351,35440,35611,35860,36252,36843,37699,38843,40232,41661,42935,43879,44468,44865,45377,46320,47888,50108,52936,56109,59425,62753,66029,69276,72550,75941,79470,14,Atlantico
1205,20970,21555,22243,23064,24016,25113,26206,27342,28338,29096,29595,29848,30030,30206,30409,30621,30843,31118,31553,32235,33235,34444,35836,37114,38059,38625,38771,38948,39464,40586,42339,44582,47168,49911,52686,55413,15,Atlantico
1206,12758,13878,14684,15272,15679,16042,16327,16763,17443,18362,19494,20472,21447,22324,23175,23926,24632,25127,25391,25092,24557,23421,23123,23643,25073,27000,28825,30434,31500,32208,32493,32998,33220,33519,33976,34982,16,Atlantico
1207,10221,10587,11042,11567,12176,12845,13566,14340,15146,15962,16792,17625,18464,19322,20208,21123,22075,23064,24093,25134,26148,27073,27899,28654,29356,30031,30702,31371,32069,32788,33549,34360,35260,36230,37308,38491,17,Atlantico
1208,583830,586297,583171,578719,576950,581738,580759,585734,596620,611870,628330,639119,643535,641154,632757,620505,611726,602842,595752,592451,594885,591486,590109,590407,591870,593834,596257,598534,600477,602012,603230,605449,607390,609061,610628,612217,1,Bogota
1209,510670,528437,547876,566176,581390,591998,600461,602302,598711,592667,587883,589757,596675,608192,621379,632173,637210,638093,635000,629349,623302,618269,613023,607781,602808,598507,596190,595216,595600,596857,598182,600078,601914,603660,605341,607008,2,Bogota
1210,417053,431476,453134,479798,507342,532404,557058,578328,595233,606708,611853,612566,608962,602579,597313,596836,601169,610262,622086,632523,638052,641254,640890,637721,633228,628557,623726,618735,613673,608920,605068,603336,602967,603773,605064,606251,3,Bogota
1211,429598,433456,435973,439450,447319,461198,482432,508063,535116,559992,580662,596465,610176,621321,628989,632706,631736,625591,617003,610262,608025,613268,623002,634978,645482,652113,655443,655005,651589,646983,642476,637600,632370,626982,622036,618139,4,Bogota
1212,449146,460174,468564,474619,478993,482343,487341,491909,498061,507770,521282,534562,550796,568982,587011,603218,617335,629718,639211,644471,644573,643193,637437,630021,625058,624979,629549,639206,651693,662879,669960,673222,672749,669743,666127,662899,5,Bogota
1213,398753,418515,438802,458156,474608,486927,497941,505700,510860,514581,517973,519918,520980,522539,526574,534374,545665,561233,579323,596773,611085,624279,635966,645356,651446,653832,652621,647104,639925,635244,635633,640632,650902,663785,674892,681661,6,Bogota
1214,322010,340638,360322,380403,400204,419127,439231,458628,476211,490712,501707,509950,515295,518388,520307,521878,522722,523079,524424,528867,537501,549056,564367,581840,598940,613985,627428,639309,648859,655158,657874,656790,651442,644486,640069,640629,7,Bogota
1215,256224,270787,285766,301130,317061,333508,351911,370571,389183,407392,424957,442368,459586,475860,489993,501188,509208,514445,517600,519852,522155,523523,524201,525587,529667,537559,549179,564579,582200,599504,614779,628185,640060,649707,656252,659323,8,Bogota
