age,life.exp
1,85.21
2,84.22
3,83.23
4,82.24
5,81.25
6,80.25
7,79.26
8,78.26
9,77.27
10,76.27
11,75.28
12,74.28
13,73.29
14,72.29
15,71.29
16,70.3
17,69.32
18,68.33
19,67.34
20,66.35
21,65.36
22,64.37
23,63.38
24,62.39
25,61.4
26,60.41
27,59.43
28,58.44
29,57.45
30,56.46
31,55.48
32,54.49
33,53.5
34,52.52
35,51.53
36,50.56
37,49.58
38,48.6
39,47.62
40,46.64
41,45.67
42,44.71
43,43.74
44,42.77
45,41.8
46,40.85
47,39.9
48,38.95
49,38
50,37.05
51,36.12
52,35.19
53,34.25
54,33.32
55,32.38
56,31.47
57,30.55
58,29.64
59,28.73
60,27.81
61,26.91
62,26
63,25.1
64,24.2
65,23.29
66,22.42
67,21.55
68,20.68
69,19.8
70,18.93
71,18.1
72,17.28
73,16.45
74,15.62
75,14.8
76,14.04
77,13.27
78,12.51
79,11.75
80,10.99
81,10.32
82,9.65
83,8.98
84,8.31
85,7.64
