"","TotalCases_Q25","TotalCases_med","TotalCases_Q75","AcuteCases_Q25","AcuteCases_med","AcuteCases_Q75","AsympCases_Q25","AsympCases_med","AsympCases_Q75","MildCases_Q25","MildCases_med","MildCases_Q75","SevereCases_Q25","SevereCases_med","SevereCases_Q75"
"Antioquia",39714.5556992008,54487.8630204369,74136.5452204357,1498.65404950388,2398.72644448463,3276.6360337614,27989.5132649386,38209.8640721106,51893.598953476,8248.5010421085,11433.0965567975,15804.8101243423,1727.7722704771,2381.47035685177,3958.42420908738
"Atlántico",9555.53579377947,15381.3182901002,24979.0312595607,429.309321405866,753.153501416097,1179.87028307035,6854.94746028247,10861.5435636847,17609.7222422059,1886.38299938408,3135.16093084625,5191.2676910226,361.776358764629,675.371580928874,1450.54659127395
"Bogotá, D.C.",7373.5438603212,27503.1443015279,102588.22559963,328.038916495999,1254.93702648662,4109.49318885384,5394.6902884478,19638.9982721093,77854.1440849502,1281.88333738104,6239.56174183566,23540.3247369911,259.004926051996,1352.54815176656,9505.63996469748
"Bolívar",15136.6241716309,20812.454233145,30504.9053733648,620.091605215979,961.944454166473,1446.6772803368,10615.9359584508,14508.4057239726,21509.6673395889,3088.97329711619,4222.00464585873,6319.19924322809,631.731097555231,895.073890960466,1613.65106600569
"Boyacá",12810.7665695724,18578.6887608789,28373.0520032308,422.755600164141,752.135911366527,1188.97133443413,8941.91984654645,13208.155079342,20720.4944942333,2747.69130608856,3852.01536610513,5951.2251023889,563.935797733014,846.853095820872,1457.33091736612
"Caldas",6669.1480866058,9786.18922542195,14996.0661994523,251.373635508755,396.514385689632,569.108729903272,4691.97678287109,6804.19812359389,9778.08327796624,1476.05019756946,2087.16703440813,2989.09125741223,301.355692335403,453.076137079298,828.77106048161
"Caquetá",3343.62243424727,4861.26224220645,7226.52366307748,142.706334487794,228.740829863488,338.036821223071,2387.2066080508,3431.17035696104,5260.07201845328,636.309211637012,993.098621644856,1505.54501718885,112.787503609078,194.015465163388,460.641647832099
"Cauca",14240.9339108681,22706.6837848289,32975.8550238886,579.262073135503,973.223827784623,1522.48140092277,10020.4028826448,15864.8612752625,23298.1390481148,2897.14315594956,4745.90799315066,6810.42717283192,639.692483702898,972.594725134901,1518.94337378721
"Cesar",8831.21250468541,11699.0064759297,22228.7351877837,403.189762670255,563.281029386546,1024.18301237367,6019.72670933002,8265.22666161827,14820.8643080134,1709.96234941975,2406.05356846733,5310.5522335858,332.199481828267,510.250559112774,1210.04647660749
"Córdoba",15269.0322643542,21547.9195047185,33306.1552233901,639.210179556784,949.203557946754,1488.90244396747,10638.0853905891,15221.840991884,23125.6374761866,3082.81689126108,4487.11402906722,6755.40047122575,626.152212419661,963.769447446743,1668.49748295954
"Cundinamarca",28464.0167847009,39343.2361106857,56697.3568510811,1004.55011845883,1704.62410764236,2648.82350049701,19736.0740506146,27543.3783391765,40291.9693225302,6033.86242269178,8097.37693948264,11831.9250511994,1204.6988506514,1831.05871962354,2958.74247483233
"Chocó",3124.54719511211,4659.29786538626,6714.03539794362,141.975549100744,227.197047045123,336.019511634516,2162.20866175902,3223.19545299734,4736.42147425143,635.624728474378,939.096284688658,1386.84179887499,129.014926478196,197.984396235085,328.019513904213
"Huila",8193.25948490629,11988.5474248354,17596.5801668907,331.088373903582,530.420654383705,793.205624945465,5707.84349310148,8395.74849582356,12777.3342871803,1663.74066431271,2446.22830391052,3490.75171689659,329.677369610861,511.632102565065,739.595087738598
"La Guajira",11549.7746127231,19354.2919149668,29776.940554187,597.831059510805,1068.29093974673,1634.35527690366,8198.09362685164,13586.3730103998,22096.8629209586,2172.96143764776,3907.54205666311,5760.6436399245,401.333836848162,808.739542978807,1598.20706967416
"Magdalena",11204.0327493916,15336.5455901102,22021.5648850891,483.418523175782,718.766477634546,1046.90823282543,7860.49128549387,10747.271061609,15747.395217525,2252.8613320063,3116.8000157566,4464.62136473931,425.091172251306,673.599647908279,1211.66374276115
"Meta",9165.37666372336,13861.5589782491,18835.942162308,399.171827805459,621.207555637579,831.923350313221,6404.7241059449,9897.55120742976,13594.8406377028,1870.70260536977,2792.58046851238,3993.73034636347,337.114667519205,529.16420365151,995.626049117485
"Nariño",14180.2670907014,20376.7694663241,28436.3225900188,580.322376768732,862.009204609008,1161.94067685169,9879.37587043602,14377.7765794695,19156.0594441138,2998.83848176681,4231.07871804026,5872.12115386663,638.194275332028,964.350471496533,1607.77823800263
"Norte de Santander",17412.7240523724,25325.7429988279,57813.8409877335,777.962578211396,1156.18916185831,2278.15882644645,11792.495394406,17879.8900503027,36101.8527599353,3379.83258150346,5053.77349567895,10315.8402367267,535.329497118012,1027.1460007062,2732.66133019332
"Quindio",2328.46862285331,3456.35304867252,5126.99121734162,83.9971287581818,143.450899600629,209.845653692541,1642.02738507806,2430.62015912501,3655.33061869778,483.965031285266,740.017855935078,1104.10323761237,90.6518343028761,149.92212110833,331.199240878954
"Risaralda",3753.40643067438,6292.84534896399,10045.0300489834,144.820029724521,268.316654634971,416.079207038231,2647.22116338266,4355.62482132776,6416.4289869917,765.484552314558,1328.32576076456,2374.8216611407,152.010917544399,292.635905796579,729.28817078765
"Santander",19627.978954875,27244.5149295806,35459.4537800444,826.38081382022,1177.37787826023,1497.82132838749,13787.0376115134,18934.5714227976,25244.3592511049,4041.49213152284,5840.13387637631,7958.05733424826,809.057459932008,1267.26330787266,2267.91753092157
"Sucre",7389.27539232428,10244.0589666638,15024.4896287563,303.115442441449,448.695691470876,707.118148573365,5164.00293558372,7232.18160730526,10692.5067182792,1524.89094852395,2109.64876228887,3039.96217322669,321.223033270911,460.958796092125,753.152771356973
