"","Year","NbCasesTotal_Q2.5","NbCasesTotal_Med","NbCasesTotal_Q97.5","NbCasesUrban_Q2.5","NbCasesUrban_Med","NbCasesUrban_Q97.5","NbCasesRural_Q2.5","NbCasesRural_Med","NbCasesRural_Q97.5","PrevTotal_Q2.5","PrevTotal_Med","PrevTotal_Q97.5","PrevUrban_Q2.5","PrevUrban_Med","PrevUrban_Q97.5","PrevRural_Q2.5","PrevRural_Med","PrevRural_Q97.5"
"1",1985,8492.40118738588,12315.6246615731,19596.6596650594,5048.19626485937,7697.57859569628,14045.9458369926,3063.01213141311,4367.14840765356,5871.17896608247,0.00179973055910992,0.00260995748656849,0.00415297234285989,0.00172186080103641,0.0026255236824069,0.00479085247111956,0.0017141668255542,0.00244400629233483,0.00328571346725522
"2",1986,8603.3799237836,12481.6663367506,20000.8078121405,5218.10415079663,7968.01591168662,14566.2289216833,2999.2140809425,4285.05839234195,5735.92407885966,0.00180034107743314,0.00261191029803832,0.00418536391569772,0.00172915049996127,0.00264040316161357,0.00482688756195749,0.00170310897753323,0.00243327792558187,0.00325715455099659
"3",1987,8729.51549790889,12643.2381689252,20338.8816714515,5376.13068249982,8251.12857427533,15050.2905765084,2948.50352164335,4217.90137683279,5592.32574137832,0.00180633699385023,0.0026161759873225,0.00420858115040701,0.00173993652185558,0.00267040382772695,0.0048708916849524,0.00169174795288894,0.00242008393999382,0.00320868045617659
"4",1988,8833.74923874259,12759.8810330127,20759.9982498799,5512.65262620838,8408.31832402098,15544.4070551685,2904.05846824214,4152.78152470188,5529.36189625077,0.00180973132875266,0.00261406067033514,0.00425300947562394,0.00175053749180989,0.0026700533241099,0.0049361113756124,0.00167658325000167,0.00239750129736404,0.00319223446767
"5",1989,8964.75858784104,12723.9164332227,20870.1558969931,5652.07530641344,8537.89565081776,15727.0140214879,2894.03722502085,4115.48129595004,5471.26058144577,0.00182172143551065,0.00258561690010109,0.00424100771788407,0.00177021003782582,0.00267403878462787,0.00492564528541843,0.00167464178520122,0.00238143341240622,0.00316595844317359
"6",1990,8985.84716431972,12723.1259449559,20506.5620081915,5692.26061890191,8603.17688672963,15808.2888080903,2883.81780607189,4070.89635978815,5419.44866881493,0.00181511621290744,0.00257003616456471,0.00414226866887493,0.0017675593857863,0.0026714563987501,0.00490878600378471,0.00166679640799552,0.00235290711345575,0.00313234683393574
"7",1991,8931.2893335263,12637.4745144091,20265.9040373505,5698.8592072076,8670.70256258671,15807.3448751004,2866.33496926186,4036.5439685844,5378.49005330095,0.00179579100282285,0.00254098397038701,0.004074812356345,0.00175727354915973,0.00267365725522653,0.00487427887257292,0.00165641495064094,0.00233266238949195,0.00310815429170008
"8",1992,8945.66421313561,12548.4818384342,19945.3390223145,5684.94974275787,8645.87755671855,15713.633548859,2841.36425886507,3980.40161718504,5390.77616061927,0.0017924970009986,0.00251441542255188,0.00399656856434445,0.00174390417821596,0.00265219266269023,0.00482028380914343,0.00164172572242565,0.00229985567676828,0.0031147628675609
"9",1993,8974.41449593953,12523.7513375945,19487.7314740297,5696.43656152018,8647.7154406928,15667.7452081864,2805.87847707756,3907.26394934679,5406.74924651772,0.00179463057412918,0.00250439814913914,0.00389699837683416,0.00174011274477477,0.00264165144104042,0.00478608737659202,0.00162461748159347,0.002262325103944,0.00313053448901814
"10",1994,9005.84730129636,12526.9423171358,19421.2755774102,5674.8880525045,8760.40882482265,15622.228731605,2756.21629531539,3861.70270071581,5418.55998322835,0.00179763925628777,0.00250047802468229,0.00387664216559724,0.00172785412193578,0.00266731402589203,0.0047565576726777,0.00159737780254656,0.00223806752200181,0.00314035130468074
"11",1995,9123.65850985752,12598.65825004,19342.3774826501,5688.26919774339,8837.9581546547,15596.3278830769,2761.4819908081,3832.41391987859,5368.5506940108,0.00181979968087639,0.00251292113115833,0.00385801949210252,0.00172729710768659,0.00268373015194962,0.00473597347566773,0.00160514976020429,0.0022276438176939,0.00312054465240757
"12",1996,8964.46818875789,12562.34672313,19218.7280644358,5661.04122044461,8798.31774637845,15504.5708066286,2761.48493777155,3838.24783743731,5281.36098342249,0.00178862918804145,0.00250649336314958,0.00383460315205204,0.00171478787657271,0.00266510135118559,0.00469649469335286,0.001614323826282,0.00224378371592733,0.00308740661740316
"13",1997,8883.75525812407,12511.3666966458,19208.4415804618,5680.49909960606,8782.16452787065,15534.0638090733,2762.40856409199,3805.90758666285,5181.12455936937,0.00177464561207065,0.00249930816012799,0.00383713593801549,0.00171575647931307,0.00265259362370685,0.00469195930905588,0.00162959727651626,0.00224517716840231,0.00305644377916817
"14",1998,8942.75646436512,12456.6665643827,19172.222742613,5752.28638372356,8876.85598668693,15560.9005069897,2745.03574449768,3741.55096812335,5069.91833897983,0.00178980630505413,0.00249308146159741,0.00383713514768816,0.00173077039931915,0.00267090310806665,0.00468202453557507,0.00164083255446966,0.00223649496914937,0.00303052048621798
"15",1999,8939.74343463219,12401.3347233182,18973.1233198821,5804.40454532982,8834.6235735224,15438.7328845049,2706.86422543813,3648.09777391021,4953.79214909736,0.00179352223662899,0.00248799864926609,0.00380645359918123,0.0017371799266538,0.00264408357680961,0.00462060434459395,0.00164733074330058,0.00222014224468757,0.00301475560777647
"16",2000,8862.46930293824,12275.9716827853,18761.1569430284,5809.15125516245,8838.85802733784,15327.7213663897,2662.83667554483,3484.59844032941,4841.88790821339,0.0017827629316264,0.00246941868204939,0.00377397021181981,0.00172607323517023,0.00262629007239212,0.00455432617340797,0.00165839701429425,0.00217018478922456,0.00301549566455688
"17",2001,8847.63682731362,12126.1001098852,18586.5041816727,5887.65286440186,8840.74088744499,15224.9743361136,2540.25571932871,3305.64983860699,4687.49790748712,0.0017842157431466,0.0024453511306248,0.00374815716538284,0.00173303680341879,0.00260228136411843,0.0044814871839887,0.0016267693942807,0.00211692466421288,0.00300185452733474
"18",2002,8811.7430052801,12050.1099832134,18416.2674028855,5962.32459760137,8914.47045526123,15218.2827826957,2422.97386237713,3178.30590945886,4514.86209032568,0.00178102946288634,0.00243556818421327,0.00372229589778983,0.00173436829251731,0.00259311190611919,0.00442681485933988,0.00160482463467301,0.00210510880832297,0.00299035908608502
"19",2003,8811.85323658011,12013.5221608137,18384.434938042,6104.48732274915,9045.84188413794,15326.1193725075,2319.10277032122,3042.42989594338,4350.58844139611,0.00178523667271482,0.00243387852182164,0.00372459306542762,0.00174972987197355,0.00259281065304885,0.00439292727950691,0.00160254098966253,0.00210237281366735,0.00300633348194551
"20",2004,8715.18461504074,12083.0596834841,18507.9594804134,6193.60140314465,9252.51122091517,15566.6049027134,2174.69751756968,2875.82769480912,4095.31930055616,0.00177168795189095,0.00245633480055751,0.00376243651441926,0.00174212901730024,0.0026025356221129,0.00437855656776623,0.00159441029594881,0.00210845381894887,0.00300254136736302
"21",2005,8850.69139587731,12314.7181008585,18772.4860806307,6166.31837400358,9271.1864953398,15467.926713154,2354.2048347087,3074.2624842017,4385.83729263346,0.00176453341523531,0.00245514509728469,0.00374260919228776,0.00173451830334376,0.0026078839421714,0.00435095957935855,0.00161156283672586,0.00210447582845654,0.00300230986043702
"22",2006,8726.50858585916,12169.5219234041,18600.6621932273,6104.47166031518,9125.32641722622,15351.3497843699,2343.34675400918,3037.1681565599,4312.78004482531,0.00175833484672271,0.00245207968975724,0.00374791271728855,0.00173937731465201,0.00260012440750662,0.00437413605141419,0.00161235831442952,0.00208974763174582,0.00296744250575926
"23",2007,8695.78258010172,11947.8689142398,18447.9823923121,6061.33272840882,8994.77122332125,15107.7647456835,2317.5781525477,3021.10409661786,4218.95888892118,0.00177144499829323,0.00243393765120398,0.00375809604672529,0.00175051889694449,0.00259769884044128,0.00436313742586002,0.00160244971384891,0.00208889067659324,0.00291712685367702
