"","Year","NbCasesTotal_Q2.5","NbCasesTotal_Med","NbCasesTotal_Q97.5","NbCasesUrban_Q2.5","NbCasesUrban_Med","NbCasesUrban_Q97.5","NbCasesRural_Q2.5","NbCasesRural_Med","NbCasesRural_Q97.5","PrevTotal_Q2.5","PrevTotal_Med","PrevTotal_Q97.5","PrevUrban_Q2.5","PrevUrban_Med","PrevUrban_Q97.5","PrevRural_Q2.5","PrevRural_Med","PrevRural_Q97.5"
"1",1985,383486.978025773,524673.385609675,813729.646493505,251614.310173869,367232.229872346,622471.683271412,113807.304888367,163352.328139225,207422.143854956,0.0127697119859579,0.017471070479172,0.0270963391603326,0.0127540991971137,0.0186146657752998,0.0315525201660905,0.0110461771312965,0.0158550345534103,0.0201324664020694
"2",1986,392995.926011751,535825.098380216,835882.477279937,259497.484215049,378262.216326003,642293.958455256,115181.732210089,164683.374599702,209785.834643116,0.0128112147215015,0.0174672812977542,0.027248806385982,0.0127870238790525,0.0186392866479413,0.0316497410716022,0.0110942443919996,0.0158622167773605,0.0202064622128202
"3",1987,402558.655614409,547244.293197216,858273.84023133,267382.940703074,390396.721055902,662544.913231176,116359.135740333,166107.920328155,211996.549126322,0.0128532145169398,0.0174728531992423,0.0274036531792712,0.0128169830733162,0.0187136402662585,0.0317590453447284,0.0111262490340318,0.0158832228886653,0.0202710890290432
"4",1988,412268.026238299,560516.64487736,881271.399435018,275695.466081031,401965.77707089,683348.9854459,117276.066891052,167585.900716452,214509.009292085,0.0128989791506951,0.017537359328738,0.0275730851871728,0.0128647632670126,0.0187569082544791,0.0318870783458255,0.0111362580244949,0.0159135608920066,0.020369268337372
"5",1989,422019.926785528,574100.261866461,904203.891565526,283637.271574719,412422.796580762,704392.224656736,118348.13385946,168949.826130227,216802.018224713,0.0129475118169775,0.0176133150424042,0.0277408478319349,0.012895253814203,0.0187503448018162,0.0320244108655759,0.0111657652013851,0.0159398718667177,0.0204545720472301
"6",1990,430418.927088368,587675.910577313,926836.768910629,291556.593074445,422778.441855021,725604.33686252,119423.469562098,169976.172273855,218512.293407017,0.0129580331452264,0.0176923537713026,0.0279030052256338,0.0129266005633505,0.0187445188154607,0.0321707608486894,0.0112012698244943,0.0159428375038472,0.0204952608343735
"7",1991,439044.438971777,600888.173377325,949065.015493777,299430.761883587,433664.208302975,746739.854519733,120181.431634641,171275.037517834,220056.984218181,0.0129781533564427,0.0177622540497886,0.0280543612969088,0.0129560149057435,0.0187641373635658,0.0323105502754983,0.011212870672921,0.0159798799121113,0.0205312124439719
"8",1992,447637.530530673,614480.036676606,972142.614733837,307624.65527931,442946.157749626,768562.004149036,120752.318648645,172704.172729411,221946.864521889,0.0129983885652423,0.0178431202424828,0.0282288382570622,0.0129966535572365,0.0187137723130611,0.0324705251473133,0.0112135834747405,0.0160380577285005,0.0206109474345986
"9",1993,456143.987446412,628093.138098219,995533.703487495,315572.498944971,452740.402070329,790840.607776712,121383.894762301,173160.972439782,223715.127608446,0.0130181645229553,0.0179255235902074,0.0284121283998504,0.013024869306374,0.0186863069069575,0.0326409797840503,0.0112282479113799,0.0160177289659134,0.0206940872941388
"10",1994,463643.460354902,636007.098291063,1019000.16986002,322809.473325607,462573.141728357,813655.952256597,121259.713528822,172531.207154042,224738.671494268,0.0130252630557286,0.0178675220701064,0.0286270516057728,0.0130262018850962,0.0186660294343315,0.0328331340152895,0.0112130517723916,0.0159541970030438,0.020781892727503
